Name,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q3_26,Q3_27,Q3_28,Q4,Q15,Q17
lcclbawybw,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,"Give the three papers in my group with highest priority since these three papers fall into my interests. Also, I bid for some other papers related to my interests with indifferent such that it does not seem too suspicious.",I did not.,Remove those reviewer that has collaborated with or from the same institution with the author from the reviewer candidates for a paper.
hzxuweegdt,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Not willing to review,"I copied over my votes from part 1, but here I demoted all ""Eager"" bids from part 1 to ""Indifferent"" and promoted the 3 papers authored by my group members to ""Eager"". ","Yes, we came to a consensus that we believed this strategy could minimize our risk if our ""Eager"" choices were not assigned to us, as we can more or less preserve the ordering of our personal preferences with this strategy.",
aaxgxbxidx,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Eager to review,Eager to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Eager to review,Not willing to review,Not willing to review,Indifferent,"1. Demote my ""Eager"" bids from part 1 to ""Indifferent""
2. For the papers authored by my peers, I bid ""Eager""","Yes, we discussed synchronizing our strategy to match our selection method.  In addition, we talked about how some papers are not only our ""interest"" but also a paper that is one of our peers.","Allow the malicious actors to choose a paper of their peer while also assigning it to another random reviewer.  Then observe the deviation between the random and the malicious actor's decision.  If they match, then allow the paper.  If not, then choose the random reviewer's decision."
wpklglvwdi,Not willing to review,Indifferent,Indifferent,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,I tried to be equivalent about the same categories of papers.,No,
gfudonpdlt,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,"My partner's paper is somewhat related to my areas of expertise, though not exactly. I ranked other papers that would be in that area (search) as indifferent so that I would be more likely to get my partner's paper, and ranked one or two papers in my other areas as ""eager"" in hopes of not seeming too malicious in my bidding.","My partner and I discussed strategies for voting, and whether we thought certain ways to bid would seem malicious, or whether they would even work. In the end we settled on the strategy we mentioned above.","I'm not really sure how to combat this, as it seems like it could be a reasonable bid, though the flip side is that it won't necessarily give us the papers we want, it just makes it slightly more likely that we get it."
stsdorwpcq,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Indifferent,Indifferent,Eager to review,"Eager to papers within my specialty that a friend wrote. Eager to another paper within my specialty.
Indifferent to friends papers not within my specialty. A mix of indifferent / not interested on the rest.",Yes. Basically doing the above and also trying to have overlap in what we call indifferent to try to force the model to give us the same papers.,You'd have to try to find overlap in the way people vote probably- if a group of people are voting the same on a lot of their own papers that's probably indicative.
dzrgtcpoab,,,,,,,,,,,,Eager to review,,,,,,,,,,,,Eager to review,,,,Eager to review,be honest for 2/3 and lie for 1/3,no,
asafvxevcd,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,"Reduced the number of eager to reviews. Since there are 2 other group members, I selected eager to review on one and indifferent on the other.","Suggested that we each select eager to review on one paper, and indifferent on the other, so we have a cycle in the rankings among us.",
beaqmlcczm,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Eager to review,Eager to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Eager to review,"The goal was to minimize the number of papers I could assign high interest to while at the same time, marking my partner's paper as high interest without arousing suspicion. I marked all papers which did not have any overlap with my interests or my partner's paper topic as 'low' interest. I marked my partner's paper as high interest. I would have marked one other NLP paper as high interest if one were available and the rest as medium interest. I marked four papers in my own field as high interest and the rest as medium interest.","I attempted to discuss with my partner, but he was unable to participate in the game.","None at the moment, but I am interested to hear the results!"
uqhkynmsse,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Select eager for papers of group members and papers that I am interested in. Make sure to review at least one of the paper from group members.,We should select both paper from group members and paper from our interest areas.,
edecenoxeh,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Eager to review,"I vote eager for my and 2 of my peers' paper that seem to be most relevant to my expertise. Then I vote eager for 2 other papers that fit my expertises. 

I vote indifferent for the other paper by my peer. And vote for other paper honestly.",Yes. we decide to do a cycle where each person vote for some but not all other people's paper (only choosing the papers that seems relevant to our own expertises) and also add some random other paper in our decisions.,
vcwcagrgwo,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Eager to review,Eager to review,Indifferent,Indifferent,Eager to review,Indifferent,Eager to review,Indifferent,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,,Random for my fields plus the ones I am interested in.,No. It would add to randomness.,
motuzrmtrr,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Eager to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Bid eager for friends paper and for two other papers that are in my area of expertise. Add two indifferent bids for papers in my area of expertise to remain unsuspicious. Bid not willing on the rest.,,
zduiamsoia,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,"We have no information about other peoples papers, but we have expectation on what are highly interesting papers and what are not very interesting papers.
A highly interesting paper means that there is probably someone else picking that paper that only picked 3 papers as high priority and therefore it is safe to tank that paper as indifferent, as noone else will pick it.

I bid eager to review on my peers paper and on a not highly interesting paper (so I will probably get the not highly interesting paper, as I am probably the only person betting high on it).

I also bid indifferent on two papers, one of which I expect to be a highly intersting paper, therefore I will very likely not get it, and therefore I expect I might get the other indifferent bid, and still have two slots free for my 2 eager to review bids.","Yes, we talked a bit about stratategies and what information model to consider.","Yes. We can prevent K coalitions by forcing on the optimization problem conditions such as there cannot be K-cycles on the review process, this however doesn't prevent against review for other favors (unidirectional reviews).

To prevent against a unidirectional reviews, there is clear tradeoff between randomization (security) and social utility (how many people get the papers they prefer). The attacker is given a choice on which papers he prefers, if we go for social good, we make the attacker happy and he wins, so we need to not go for social good. To do so, we can artificially limit the number of people that can get a paper (both with high and low bounds). For papers that have a lot of people interested, we randomly assign the reviewrs to papers with few people intersted, and we also virtually enforce that each reviewer prefers exactly K papers. These causes that every paper has between A and B reviewers. No matter what the attacker does, his probability of getting the one paper he wants is lower than min(K/A,3/K).

"
mjugorrsep,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,"I voted 'eager' on the target paper, then looked for keywords that were shared across the papers.  In hopes that there are others who are experts in tree search, deep learning, and convex optimization, I voted 'eager' and 'indifferent' on papers that included the words 'convex', 'A*', and 'deep learning' at random.  Then, I voted 'not eager' for the rest.",No,
nellpalzkn,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Eager to review,Eager to review,Indifferent,Not willing to review,Not willing to review,"Select ""Not willing"" for all papers in my area of expertise in order to lower the chance of being assigned these papers. Select ""Eager"" for two papers in my group and two other random papers. For the rest of the papers, randomly choose between ""Not willing"" and ""Indifferent"".",Yes. We discussed about the moderator's strategy and our optimal strategy.,
mjilubyayb,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Eager to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,"I selected 3 papers as ""eager""; 2 in my interest areas, and 1 that was my colluder's paper (but happened to also fall into one of my interest areas, search.) I selected 3 papers as ""indifferent"" in areas that were still related to my interest areas, but ones that I think other reviewers are more likely to bid high on (and thus be chosen as the reviewer for those papers, not me.) I selected ""not wiling"" for all other papers.","Yes, we discussed how to maximize our chances of getting each other's papers, without arousing suspicion. My partner's idea was to choose 2 - 3 papers as ""eager"", where 1 of them was the other's paper. Meanwhile we also choose 2 - 3 papers as ""indifferent"" to avert suspicion; but we think we are not likely to get these papers anyway, if other people bid high on them. Then we bid ""not willing"" for all papers.","I'm not sure there will be a 100% robust method, but I think there are relatively simple things to check for, like the suspicious behavior shown above where there are cliques where everyone bids highly on each other's papers and low on everyone else's. Conferences could also randomize assignments somewhat, where they ask reviewers beforehand their areas of interests and specialty, and then randomly assign papers in those areas to those reviewers. Of course this doesn't prevent people from still colluding behind the scenes and sharing authorship info, etc. But I think heavy punishment can be an effective deterrent. In the case that people are found guilty of colluding, they should be banned for >= 30 years (essentially the rest of their career) from publishing at that conference/all conferences run by that organization/have any relevant membership revoked. I think the risk of having their career take a serious blow over a submission to a conference will make people think twice. "
rfblyhrkyi,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,We had a cycle selecting team member's papers and two other papers that are not relevant to our interests. We placed everything else as not willing to review.,"Yes, which papers we all had and how they aligned with one anothers interests. ","Have extremely high consequences if someone is found out. Conferences can get together and form a ban list. Institutions could place sanctions on professors. It's likely some will slip through no matter what, but if they are obviously bad someone will notice. With all information stored it is easy to go back and investigate a paper's reviewers. "
kmxgrmksxm,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Eager to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,"Disguise team's papers in eager with other papers within my specialties, and left one teammate's paper as indifferent to disguise more. In addition, we tried to coordinate overlapping most of our indifferents in papers outside of our team, so that we would reduce the chance of non-team papers being distributed among multiple of us. Otherwise, we would put not interested for everything else","As mentioned above, we decided on this strategy together and coordinated overlapping indifferents for papers not in our team","1 -> Make the algorithm for assigning papers private, so that no one can design adversarial attacks on the algorithm specifically
2 -> Try a bunch of different algorithms for assignments and choose assignments by averaging the algorithm outputs, or something similar to that"
ykgfttvrmp,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,I bid a paper belongs to a member of my group and two other papers that are related to my area of expertise but not so closely related.,"Yes I did. We decided to create do a cyclic bidding, meaning each of us will bid on one of another person's paper. We determined the cycle by matching our areas of expertise to our paper topics, and find the best matches to maximize our chance of getting the paper we want. We then decided to also bid on a number of other papers that were somewhat related to our areas of expertise, but would be less related than the papers we really wanted. These bids are the dummies that help to disguise our true intention. We did not specify the number of these dummies, so each of us may have different numbers of dummies to make us look less connected with each other.",Create a program that checks for this kind of cyclic bidding and assign papers in ways that break the discovered cycles.
pyhgmzzgnc,Eager to review,Indifferent,Eager to review,Indifferent,Eager to review,Eager to review,Indifferent,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,"Yes, my teammates and I decided to request each other’s papers based on our expertise alignments and also add a few non-desirable choices to avoid being suspicious as well. ","Yes, we discussed our strategy ",
nrwxkyzklu,Indifferent,Not willing to review,Eager to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Not willing to review,Eager to review,Not willing to review,Indifferent,Eager to review,Indifferent,Not willing to review,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Eager to review,"Went opposite of honest at times, other half of time I went with honest views.",No,"Randomization is hard to detect by definition, seems like those kinds of attacks are successful and hard to prevent"
