Name,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q3_26,Q3_27,Q3_28,Q4
rvkkwbtzer,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Eager to review,Voted based on similarity to areas of expertise
klvsradixm,Not willing to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,"No, i just selected which i like"
coqdouvtfk,,Indifferent,,Eager to review,,,,,,Eager to review,,Eager to review,Indifferent,,,,,Not willing to review,Eager to review,Eager to review,Eager to review,,Eager to review,,Eager to review,,,Not willing to review,Randomized
nellpalzkn,Eager to review,Eager to review,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Just bidding papers relevant to my area.
kmxgrmksxm,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Voted eager for papers within my interests and not willing for the rest
hsmqgyjeqq,Eager to review,Eager to review,Eager to review,Indifferent,Not willing to review,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Eager to review,Indifferent,"I chose eager to review for subjects closely aligned with what my expertise in my area, indifferent on subjects that were somewhat related and not willing to review for subjects that were not of my subject expertise."
vcwcagrgwo,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Not willing to review,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Eager to review,Eager to review all papers related to my topics. Indifferent to topics close to but not exactly my topics. Unwilling to unrelated topics.
stsdorwpcq,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Eager to review,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,"Not really- I don't like DL so I said unwilling on those papers. I like some game theory and planning topics, I especially like GP's so voted either on those. Otherwise indifferent."
xkoidzldie,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Not willing to review,Indifferent,no
mjilubyayb,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Eager to review,Eager to review,Eager to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Eager to review,Not willing to review,"Since my interests/areas of expertise are convex optimization, search, and fairness, I was ""eager"" to review papers relating to these areas (I marked 6 papers total as ""eager"".) For papers that were less related to my areas of expertise, such as non-convex optimization and papers relating to voting and transparency in machine learning models, I selected ""indifferent."" Finally, papers that were mostly outside of my areas of expertise I marked as ""not willing to review."""
lcclbawybw,Indifferent,Not willing to review,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Indifferent,Not willing to review,Eager to review,Eager to review,Indifferent,Indifferent,"following honest choice for ""eager to review"" and random choice for other."
hzxuweegdt,Indifferent,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Indifferent,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Not willing to review,"I selected ""Eager"" for papers I thought were in my field, ""Indifferent"" for papers I thought were close to my field and ""Not Willing"" for papers completely unrelated from my expertise."
dhjmujchol,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Not willing to review,Indifferent,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Eager to review,Voted simply based on what papers correspond to my interest. No additional strategy.
ykgfttvrmp,,,,Eager to review,Eager to review,Not willing to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,,,,,,,,,,,,,,,,,Eager to review,"Eager to all papers belong to my field of expertise, unwilling to my own paper, and indifferent to everything else."
aaxgxbxidx,Eager to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Eager to review,Indifferent,Not willing to review,Indifferent,Not willing to review,Indifferent,Indifferent,Eager to review,Not willing to review,Eager to review,Eager to review,Indifferent,Not willing to review,Indifferent,Indifferent,Just chose what I am an expert on with equal number of not willing and indifferent choices. (11/11)
gfudonpdlt,Not willing to review,Indifferent,Not willing to review,Indifferent,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,"Didn't really follow a specific strategy- if something was in my area of expertise, I either ranked it as ""eager"" or ""indifferent"", and otherwise I generally said I would not like to review it."
mjugorrsep,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,"I voted 'eager' on the top three papers that were most relevant to my areas of expertise.  Then, I voted 'indifferent' on papers that were in similar fields to those in my areas of expertise.  Finally, I voted 'not willing' on the rest of the papers."
dzrgtcpoab,,,,,,,,,,,,,,,,,,,,,,,,Eager to review,,,,Eager to review,be honest
asafvxevcd,Not willing to review,Indifferent,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Indifferent,Just bidded most eager to review on the topics relative to my given interests
uqhkynmsse,Indifferent,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Indifferent,Indifferent,Eager to review,Indifferent,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Eager to review,Eager to review,Eager to review,No particular strategy. Bidding on papers that I am interested in and my own paper.
edecenoxeh,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Indifferent,Eager to review,Indifferent,Not willing to review,Eager to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Eager to review,"I really just vote ""Eager"" for papers that seem to fits my expertises and do ""not willing to review"" on topics that seem to be very Irrelevant to my expertises."
motuzrmtrr,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Eager to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Bid eager for papers related to my core expertise. Bid indifferent for papers that sound interesting  but are not my expert area and not willing for everything else.
rfblyhrkyi,Eager to review,Eager to review,Eager to review,Not willing to review,Indifferent,Indifferent,Indifferent,Indifferent,Eager to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Not willing to review,Indifferent,"Eager for the ones I wanted to review, and indifferent to the ones that were close to my ""interests"""
xyphczmnun,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Not willing to review,Eager to review,Not willing to review,Eager to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,"In reality, my experience and expertise are in search and optimization. So I just placed the bids as me."
pyhgmzzgnc,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Eager to review,Indifferent,Indifferent,Not willing to review,Indifferent,Indifferent,Not willing to review,Not willing to review,Not willing to review,Not willing to review,Indifferent,Indifferent,Indifferent,Not willing to review,Indifferent,Not willing to review,Not willing to review,Eager to review,"No, I just chose the papers that looked interesting and related to my topics"
nrwxkyzklu,Not willing to review,Eager to review,Eager to review,Not willing to review,Not willing to review,Not willing to review,Eager to review,Indifferent,Not willing to review,Eager to review,Not willing to review,Indifferent,Eager to review,Indifferent,Not willing to review,Not willing to review,Not willing to review,Indifferent,Not willing to review,Indifferent,Eager to review,Eager to review,Indifferent,Not willing to review,Indifferent,Indifferent,Eager to review,Indifferent,Honesty
